pontoId,lat,lon,pathBTS1,pathBTS2,pathBTS3,pathBTS4,pathBTS5,pathBTS6,taBTS1,taBTS2,taBTS3,taBTS4,taBTS5,taBTS6
2818,-8.062.787,-34.897.289,131.79,105.09,125.656.666.666.667,105.756.666.666.667,128.49,115.99,1,2,3,2,1,0
212,-8.076.408,-34.899.723,120.59,112.123.333.333.333,124.856.666.666.667,132.023.333.333.333,135.523.333.333.333,141.19,2,1,1,1,2,2
500,-8.074.771,-34.890.739,118.723.333.333.333,128.556.666.666.667,130.09,989.566.666.666.667,128.59,146.423.333.333.333,1,0,3,0,1,2
2094,-806.803,-34.896.683,111.49,109.723.333.333.333,108.056.666.666.667,973.566.666.666.667,118.456.666.666.667,997.233.333.333.333,0,1,2,1,1,0
1790,-8.069.077,-34.900.505,123.29,114.34,121.79,126.09,130.09,109.04,1,1,2,1,2,1
865,-807.269,-34.900.665,123.456.666.666.667,116.99,123.956.666.666.667,123.856.666.666.667,138.39,127.123.333.333.333,1,1,1,1,2,2
2337,-8.066.168,-34.896.164,130.19,111.64,123.89,121.59,115.79,105.29,0,1,3,1,1,0
1887,-806.881,-34.888.927,123.056.666.666.667,132.79,134.29,124.49,101.356.666.666.667,130.49,0,1,4,1,0,1
581,-8.074.279,-34.890.247,98.04,136.415,120.89,118.49,116.965,134.415,1,0,3,0,1,2
1483,-8.069.884,-34.900.814,125.023.333.333.333,129.123.333.333.333,116.956.666.666.667,129.09,133.49,123.523.333.333.333,1,1,1,1,2,1
2355,-8.066.019,-34.893.562,123.74,122.24,122.69,125.49,117.19,114.49,0,2,3,2,0,0
2705,-8.063.782,-34.893.925,134.256.666.666.667,121.723.333.333.333,126.623.333.333.333,136.056.666.666.667,129.89,119.956.666.666.667,0,2,3,2,1,0
423,-8.075.425,-34.896.286,126.19,112.39,131.84,119.09,129.14,137.44,1,0,2,0,2,2
522,-8.074.603,-34.900.303,120.99,109.923.333.333.333,104.423.333.333.333,126.89,141.356.666.666.667,135.29,1,1,1,1,2,2
1664,-8.069.396,-34.895.741,104.456.666.666.667,119.69,119.823.333.333.333,111.69,110.723.333.333.333,125.923.333.333.333,0,1,2,1,1,1
2100,-8.068.026,-34.890.564,126.756.666.666.667,132.39,135.656.666.666.667,121.223.333.333.333,102.256.666.666.667,121.79,0,1,3,1,0,1
1306,-8.070.537,-34.890.694,109.79,116.34,118.59,99.59,90.24,127.09,0,1,3,1,0,1
2343,-8.066.115,-34.896.904,115.39,104.34,115.64,101.89,124.54,98.74,0,2,3,2,1,0
2815,-8.062.807,-34.901.356,139.04,123.89,135.09,130.89,120.04,125.69,2,2,3,2,2,1
2518,-8.065.325,-34.886.417,119.023.333.333.333,134.556.666.666.667,134.19,121.956.666.666.667,119.99,131.823.333.333.333,1,2,4,2,0,1
543,-8.074.491,-34.890.209,980.566.666.666.667,136.523.333.333.333,121.123.333.333.333,110.79,124.856.666.666.667,139.39,1,0,3,0,1,2
472,-8.075.042,-3.489.352,113.223.333.333.333,114.523.333.333.333,120.423.333.333.333,97.49,120.223.333.333.333,132.056.666.666.667,1,0,2,0,2,2
877,-8.072.639,-34.896.709,98.89,99.24,118.44,91.79,129.44,134.99,1,0,2,0,1,1
1126,-8.071.382,-34.891.888,108.09,113.84,127.74,91.09,111.09,126.94,0,1,3,1,1,1
2500,-8.065.465,-3.489.381,129.456.666.666.667,119.956.666.666.667,126.956.666.666.667,131.59,121.656.666.666.667,112.223.333.333.333,0,2,3,2,0,0
2331,-8.066.221,-34.893.471,120.99,115.94,123.04,120.29,116.94,106.64,0,1,3,1,0,0
2528,-8.065.239,-34.886.181,127.69,133.29,134.556.666.666.667,128.023.333.333.333,125.323.333.333.333,133.023.333.333.333,1,2,4,2,0,1
2843,-8.062.396,-34.887.768,136.09,132.623.333.333.333,142.456.666.666.667,141.756.666.666.667,143.723.333.333.333,145.856.666.666.667,1,3,4,3,0,1
793,-8.072.953,-34.896.408,109.44,100.09,118.34,95.04,114.29,128.54,1,0,2,0,1,1
2248,-8.066.819,-34.894.852,126.156.666.666.667,123.89,124.556.666.666.667,121.856.666.666.667,123.69,995.566.666.666.667,0,1,3,1,1,0
2162,-806.731,-34.892.399,132.756.666.666.667,124.49,127.156.666.666.667,117.09,118.023.333.333.333,110.49,0,1,3,1,0,0
2353,-8.066.042,-34.888.721,118.256.666.666.667,133.69,132.723.333.333.333,124.89,102.823.333.333.333,140.09,0,2,4,2,0,1
116,-8.076.987,-34.899.506,118.64,109.59,126.24,137.115,135.365,137.865,2,1,1,1,3,2
914,-8.072.553,-34.900.673,117.656.666.666.667,124.956.666.666.667,125.69,121.256.666.666.667,140.356.666.666.667,128.056.666.666.667,1,1,1,1,2,2
154,-8.076.694,-34.896.751,117.39,912.566.666.666.667,130.423.333.333.333,115.256.666.666.667,131.256.666.666.667,138.89,1,0,2,0,2,2
780,-8.073.048,-3.489.064,105.756.666.666.667,128.956.666.666.667,129.956.666.666.667,112.99,110.056.666.666.667,134.223.333.333.333,1,0,3,0,1,1
1001,-8.072.315,-34.892.288,109.59,118.99,126.14,95.14,101.19,129.14,0,0,3,0,1,1
163,-8.076.615,-34.896.362,116.723.333.333.333,956.233.333.333.333,127.756.666.666.667,116.99,131.456.666.666.667,139.39,1,0,2,0,2,2
266,-8.076.185,-3.489.502,112.49,113.615,130.265,105.99,127.715,141.34,1,0,2,0,2,2
2762,-8.063.394,-34.901.417,140.39,133.79,134.39,126.64,133.89,130.84,2,2,2,2,2,1
2238,-8.066.879,-34.895.733,124.856.666.666.667,123.056.666.666.667,116.323.333.333.333,113.49,124.023.333.333.333,101.19,0,1,3,1,1,0
419,-8.075.434,-3.489.629,120.056.666.666.667,113.056.666.666.667,136.79,121.223.333.333.333,128.323.333.333.333,137.723.333.333.333,1,0,2,0,2,2
1590,-8.069.601,-34.894.882,110.44,127.14,118.49,115.84,112.39,105.59,0,1,2,1,1,1
1721,-8.069.254,-34.888.077,123.823.333.333.333,135.756.666.666.667,131.99,126.756.666.666.667,107.356.666.666.667,127.123.333.333.333,0,1,4,1,0,1
409,-8.075.452,-34.892.868,115.323.333.333.333,122.256.666.666.667,124.723.333.333.333,107.19,119.856.666.666.667,129.523.333.333.333,1,0,3,0,2,2
2172,-8.067.199,-3.489.407,125.39,120.39,125.29,120.256.666.666.667,125.323.333.333.333,94.19,0,1,3,1,0,0
392,-8.075.497,-34.893.036,113.523.333.333.333,123.89,128.823.333.333.333,111.09,125.356.666.666.667,133.69,1,0,3,0,2,2
1648,-8.069.453,-34.891.014,107.19,136.356.666.666.667,120.823.333.333.333,115.856.666.666.667,97.29,130.656.666.666.667,0,1,3,1,0,1
1090,-8.071.692,-34.895.218,111.24,111.49,109.34,100.49,118.29,115.24,0,0,2,0,1,1
755,-8.073.171,-34.896.355,99.49,117.79,100.49,109.99,119.34,126.84,1,0,2,0,2,1
94,-8.077.133,-34.899.448,123.023.333.333.333,111.223.333.333.333,122.023.333.333.333,133.19,135.323.333.333.333,142.09,2,1,1,1,3,2
180,-8.076.488,-34.895.973,115.89,101.823.333.333.333,126.323.333.333.333,119.59,130.323.333.333.333,140.823.333.333.333,1,0,2,0,2,2
2718,-806.369,-3.488.615,127.39,135.29,138.34,139.04,141.24,146.09,1,2,5,2,0,1
2719,-8.063.684,-34.901.447,138.89,126.956.666.666.667,131.756.666.666.667,119.556.666.666.667,130.99,131.923.333.333.333,1,2,2,2,2,1
198,-8.076.428,-34.895.615,114.915,94.665,132.115,115.515,128.89,136.59,1,0,2,0,2,2
1502,-8.069.831,-34.896.339,106.223.333.333.333,969.233.333.333.333,110.956.666.666.667,87.09,121.956.666.666.667,123.756.666.666.667,0,1,2,1,1,1
1637,-8.069.477,-34.898.659,112.556.666.666.667,110.956.666.666.667,114.99,116.223.333.333.333,114.423.333.333.333,104.59,1,1,2,1,1,1
2626,-8.064.293,-34.893.597,136.89,117.365,131.215,133.89,124.19,120.265,0,2,3,2,0,0
9,-8.077.541,-34.899.231,122.923.333.333.333,845.233.333.333.333,120.523.333.333.333,125.856.666.666.667,133.09,135.99,2,0,1,0,3,2
655,-8.073.835,-34.898.621,119.356.666.666.667,957.233.333.333.333,905.233.333.333.333,103.823.333.333.333,132.056.666.666.667,132.523.333.333.333,1,0,1,0,2,2
1889,-8.068.806,-34.896.156,105.24,118.29,111.39,101.54,124.84,108.64,0,1,2,1,1,0
2557,-8.065.001,-34.885.403,119.79,134.39,138.456.666.666.667,126.99,121.056.666.666.667,138.423.333.333.333,1,2,5,2,0,1
1681,-8.069.356,-34.896.477,107.74,100.94,108.34,90.29,118.54,107.99,0,1,2,1,1,1
742,-8.073.212,-34.896.534,101.14,108.04,119.29,102.89,131.54,123.29,1,0,2,0,2,1
1410,-8.070.077,-34.894.051,102.44,125.54,123.39,108.79,107.79,97.59,0,1,3,1,1,1
748,-8.073.196,-34.900.597,126.29,117.556.666.666.667,128.756.666.666.667,124.423.333.333.333,140.49,132.423.333.333.333,1,1,1,1,2,2
2539,-806.514,-34.893.993,132.29,115.256.666.666.667,126.856.666.666.667,125.523.333.333.333,119.023.333.333.333,114.456.666.666.667,0,2,3,2,0,0
2529,-8.065.236,-34.889.542,139.323.333.333.333,128.523.333.333.333,133.19,132.023.333.333.333,119.156.666.666.667,134.023.333.333.333,0,2,4,2,0,1
1173,-807.108,-34.896.923,924.233.333.333.333,117.69,116.256.666.666.667,107.123.333.333.333,126.79,118.59,1,1,2,1,1,1
491,-8.074.844,-34.890.968,112.665,123.365,124.74,96.79,128.515,145.84,1,0,3,0,1,2
256,-8.076.237,-34.899.784,126.123.333.333.333,115.456.666.666.667,126.49,138.29,136.723.333.333.333,139.19,2,1,1,1,2,2
271,-8.076.163,-34.895.157,115.29,102.59,125.29,108.94,132.64,133.64,1,0,2,0,2,2
859,-8.072.707,-34.890.644,102.956.666.666.667,127.023.333.333.333,123.79,108.956.666.666.667,104.39,129.856.666.666.667,0,1,3,1,1,1
2312,-8.066.364,-34.893.528,119.39,122.59,131.69,124.24,120.64,106.84,0,1,3,1,0,0
2774,-8.063.289,-34.886.677,130.556.666.666.667,137.656.666.666.667,141.59,135.723.333.333.333,140.323.333.333.333,147.69,1,3,5,3,0,1
1015,-8.072.233,-34.896.744,111.49,100.923.333.333.333,117.423.333.333.333,910.566.666.666.667,126.39,130.456.666.666.667,1,0,2,0,1,1
248,-807.628,-34.899.769,123.423.333.333.333,111.39,123.456.666.666.667,129.656.666.666.667,140.256.666.666.667,143.39,2,1,1,1,2,2
2814,-8.062.815,-34.897.289,132.032.105.263.158,999.636.842.105.263,123.263.684.210.526,111.695.263.157.895,125.932.105.263.158,111.179.473.684.211,1,2,3,2,1,0
1129,-8.071.365,-34.900.772,121.49,119.156.666.666.667,112.89,118.723.333.333.333,129.89,120.19,1,1,1,1,2,1
